family,experiment_name,source_experiment,architecture,initial_capital,combined_final_nav,combined_profit_loss,combined_bankruptcy_triggered,combined_bankruptcy_date,best_mapping,best_episode,combined_n_days,combined_risk_free_rate,combined_total_return,combined_annual_return,combined_annual_vol,combined_sharpe,combined_max_drawdown,combined_calmar,combined_avg_turnover,combined_total_turnover
RL,lstm_autoencoder__q_learning,lstm_autoencoder,lstm_autoencoder+q_learning,10000.0,16048.565278022314,6048.565278022299,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",11,792,0.04791313131313132,0.6048565278022313,0.1624280142111807,0.0948946177166394,1.2067584616863853,-0.09258367575498794,1.7543915046214817,0.009090909090909092,7.200000000000001
RL,rnn_autoencoder__q_learning,rnn_autoencoder,rnn_autoencoder+q_learning,10000.0,15362.035137089739,5362.035137089728,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",26,792,0.04791313131313132,0.5362035137089738,0.14636944922594597,0.08335955097166303,1.1811042257927176,-0.09250679354422786,1.5822562172795034,0.028282828282828285,22.400000000000002
RL,kmeans_baseline__q_learning,kmeans_baseline,kmeans_baseline+q_learning,10000.0,15972.945269787637,5972.945269787659,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",23,792,0.04791313131313132,0.5972945269787637,0.16068242982987546,0.09785519922955362,1.1524098811776395,-0.09258367575498827,1.7355373776161414,0.002777777777777778,2.2
RL,pca_kmeans_baseline__q_learning,pca_kmeans_baseline,pca_kmeans_baseline+q_learning,10000.0,15972.945269787637,5972.945269787659,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",5,792,0.04791313131313132,0.5972945269787637,0.16068242982987546,0.09785519922955362,1.1524098811776395,-0.09258367575498827,1.7355373776161414,0.002777777777777778,2.2
RL,hmm_baseline__q_learning,hmm_baseline,hmm_baseline+q_learning,10000.0,15719.956224487221,5719.956224487207,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",4,792,0.04791313131313132,0.5719956224487222,0.15480124148221264,0.09657196708001524,1.1068233712224023,-0.0925836757549875,1.6720144260838927,0.013383838383838385,10.600000000000001
RL,transformer_autoencoder__q_learning,transformer_autoencoder,transformer_autoencoder+q_learning,10000.0,14265.81499888856,4265.814998888545,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",28,792,0.04791313131313132,0.42658149988885596,0.11968115506709909,0.06723483874491984,1.0674231558172727,-0.08493879789090986,1.4090281242361138,0.0691919191919192,54.8
RL,conv_transformer__q_learning,conv_transformer,conv_transformer+q_learning,10000.0,15385.150003827104,5385.150003827164,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",15,792,0.04791313131313132,0.5385150003827104,0.1469180039491007,0.09386961347858706,1.0547062991641458,-0.09524920613395338,1.5424590913910936,0.037626262626262626,29.8
CA,tcn_transformer,tcn_transformer,tcn_transformer,10000.0,14848.985526776863,4848.985526776873,False,,0->rebound; 1->aggressive; 2->defensive; 3->recession,,792,0.04791313131313132,0.48489855267768633,0.1340463232924991,0.08641163272865172,0.9967777399813946,-0.08493879789091052,1.5781518766566354,0.052020202020202036,41.20000000000001
RL,tcn_transformer__q_learning,tcn_transformer,tcn_transformer+q_learning,10000.0,15056.37522308979,5056.375223089839,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",35,792,0.04791313131313132,0.5056375223089791,0.13906211971775173,0.09619490441665918,0.9475448721256288,-0.08642129798500653,1.6091186196008997,0.05353535353535354,42.400000000000006
CA,cls_token_transformer,cls_token_transformer,encoder_only,10000.0,13595.330179632365,3595.330179632383,False,,0->rebound; 1->recession; 2->aggressive; 3->defensive,,792,0.04791313131313132,0.35953301796323656,0.10266146182247238,0.06529263470177406,0.8385069887194107,-0.08654516438218651,1.1862183468635605,0.05378787878787879,42.6
CA,conv_transformer,conv_transformer,conv_transformer,10000.0,13805.57511882999,3805.5751188300437,False,,0->aggressive; 1->recession; 2->defensive; 3->rebound,,792,0.04791313131313132,0.3805575118829989,0.10805877283874299,0.08138413445569245,0.7390339889693913,-0.08507545259212679,1.2701521948617076,0.045328282828282815,35.89999999999999
RL,cls_token_transformer__q_learning,cls_token_transformer,encoder_only+q_learning,10000.0,13087.032901090504,3087.032901090466,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",20,792,0.04791313131313132,0.3087032901090505,0.0893733423837475,0.05810565462383221,0.7135314340579024,-0.07693194950125049,1.1617194541819689,0.038383838383838374,30.399999999999995
RL,mae_transformer__q_learning,mae_transformer,mae_transformer+q_learning,10000.0,13686.541556772663,3686.541556772645,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",44,792,0.04791313131313132,0.3686541556772662,0.10500993765305822,0.08471215952355483,0.674009571483663,-0.1040765602118563,1.0089681811091946,0.007702020202020201,6.1
RL,patchtst__q_learning,patchtst,patchtst+q_learning,10000.0,14583.787169198717,4583.787169198731,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",20,792,0.04791313131313132,0.45837871691987164,0.12756232290795055,0.12257743788170992,0.6497867223467548,-0.15005810735173164,0.8500861776761475,0.15707070707070708,124.4
CA,encoder_only,encoder_only,encoder_only,10000.0,14192.4958393192,4192.495839319219,False,,0->rebound; 1->aggressive; 2->recession; 3->defensive,,792,0.04791313131313132,0.4192495839319199,0.11784692808768749,0.11267074546656938,0.6206917020470613,-0.15005810735173164,0.7853419596413933,0.019696969696969695,15.599999999999998
RL,pure_rnn__q_learning,pure_rnn,pure_rnn+q_learning,10000.0,13006.232068555013,3006.232068554973,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",25,792,0.04791313131313132,0.30062320685550126,0.0872287583816902,0.0724423179687356,0.5427163041017901,-0.08058764918506434,1.0824085236854966,0.11856060606060607,93.9
CA,rnn_autoencoder,rnn_autoencoder,rnn_autoencoder,10000.0,13047.525010289564,3047.5250102895916,False,,0->recession; 1->rebound; 2->aggressive; 3->defensive,,792,0.04791313131313132,0.30475250102895646,0.08832587083049792,0.0796376353158574,0.5074578038019625,-0.0800727251183313,1.1030706236108505,0.2772727272727272,219.59999999999997
RL,pathformer__q_learning,pathformer,pathformer+q_learning,10000.0,13713.367329068633,3713.36732906868,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",31,792,0.04791313131313132,0.3713367329068633,0.10569860594714675,0.1219912572582698,0.47368537658134635,-0.15477596883058953,0.6829135475342394,0.14646464646464646,116.0
CA,mae_transformer,mae_transformer,mae_transformer,10000.0,12646.724802444123,2646.7248024441287,False,,0->recession; 1->rebound; 2->aggressive; 3->defensive,,792,0.04791313131313132,0.26467248024441226,0.0775751490576686,0.06334635026657395,0.46825140864017667,-0.04698128770421739,1.6511924821231514,0.1585858585858586,125.60000000000002
CA,transformer_autoencoder,transformer_autoencoder,transformer_autoencoder,10000.0,13077.393040705443,3077.3930407054268,False,,0->defensive; 1->recession; 2->aggressive; 3->rebound,,792,0.04791313131313132,0.3077393040705443,0.08911796011507578,0.09396152332446273,0.43852874393764596,-0.09258367575498805,0.9625666661897948,0.06565656565656566,52.0
CA,lstm_autoencoder,lstm_autoencoder,lstm_autoencoder,10000.0,12960.910098786997,2960.9100987870042,False,,0->defensive; 1->rebound; 2->recession; 3->aggressive,,792,0.04791313131313132,0.29609100987869974,0.08602186143439727,0.09080603065949859,0.4196717976162265,-0.1196756852637878,0.7187914674964163,0.05808080808080808,46.0
CA,rnn_lstm_hybrid,rnn_lstm_hybrid,rnn_lstm_hybrid,10000.0,12781.945575094347,2781.945575094316,False,,0->aggressive; 1->defensive; 2->rebound; 3->recession,,792,0.04791313131313132,0.27819455750943467,0.0812278305836458,0.08295938629497641,0.40157841997599064,-0.09218768950016432,0.8811136391860761,0.07007575757575757,55.5
RL,rnn_lstm_hybrid__q_learning,rnn_lstm_hybrid,rnn_lstm_hybrid+q_learning,10000.0,12254.47227717214,2254.4722771721954,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",14,792,0.04791313131313132,0.22544722771721415,0.0668263665486204,0.05438603871841209,0.34775901465105435,-0.07744460926644003,0.8628924231344665,0.054166666666666675,42.900000000000006
CA,encoder_only_market_tuples,encoder_only_market_tuples,encoder_only_market_tuples,10000.0,12103.958181266327,2103.958181266298,False,,0->rebound; 1->recession; 2->aggressive; 3->defensive,,792,0.04791313131313132,0.21039581812663277,0.06263959847744305,0.043811645193295196,0.336131343603719,-0.04250470319967592,1.4737098194328915,0.0012626262626262627,1.0
RL,encoder_only_market_tuples__q_learning,encoder_only_market_tuples,encoder_only_market_tuples+q_learning,10000.0,12103.958181266327,2103.958181266298,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",4,792,0.04791313131313132,0.21039581812663277,0.06263959847744305,0.043811645193295196,0.336131343603719,-0.04250470319967592,1.4737098194328915,0.0012626262626262627,1.0
RL,vae__q_learning,vae,vae+q_learning,10000.0,12103.958181266327,2103.958181266298,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",17,792,0.04791313131313132,0.21039581812663277,0.06263959847744305,0.043811645193295196,0.336131343603719,-0.04250470319967592,1.4737098194328915,0.0012626262626262627,1.0
RL,encoder_only__q_learning,encoder_only,encoder_only+q_learning,10000.0,11993.243862935318,1993.2438629352782,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",26,792,0.04791313131313132,0.19932438629353189,0.05953720527377482,0.0499438823672036,0.2327426985987902,-0.07644063975798765,0.7788684849089517,0.017929292929292927,14.2
CA,hmm_baseline,hmm_baseline,hmm_baseline,10000.0,12189.696465421403,2189.6964654213753,False,,0->rebound; 1->aggressive; 2->defensive; 3->recession,,792,0.04791313131313132,0.21896964654214024,0.06502885548726622,0.0842724222246397,0.20309994328287606,-0.10093854683871983,0.6442420415579163,0.18345959595959593,145.29999999999998
CA,pure_rnn,pure_rnn,pure_rnn,10000.0,12070.146912124044,2070.1469121240407,False,,0->defensive; 1->recession; 2->rebound; 3->aggressive,,792,0.04791313131313132,0.20701469121240446,0.061694211878112526,0.0715800802231456,0.19252675495779986,-0.0968723094471089,0.6368611652827046,0.12133838383838384,96.10000000000001
CA,kmeans_baseline,kmeans_baseline,kmeans_baseline,10000.0,12045.262327514725,2045.2623275147216,False,,0->recession; 1->defensive; 2->rebound; 3->aggressive,,792,0.04791313131313132,0.20452623275147253,0.06099726747686174,0.1049220817909153,0.1247033602497898,-0.11817235168839502,0.5161720707539402,0.3045454545454544,241.1999999999999
CA,patchtst,patchtst,patchtst,10000.0,8845.695833710468,-1154.3041662895575,False,,0->defensive; 1->rebound; 2->recession; 3->aggressive,,792,0.04791313131313132,-0.11543041662895315,-0.03827458855438126,0.0977471498595984,-0.8817415136022944,-0.17725347846284645,-0.21593138191871297,0.6856060606060606,543.0
CA,pca_kmeans_baseline,pca_kmeans_baseline,pca_kmeans_baseline,10000.0,8964.97650773865,-1035.0234922613417,False,,0->recession; 1->aggressive; 2->defensive; 3->rebound,,792,0.04791313131313132,-0.1035023492261351,-0.03416707982708622,0.08870974088946593,-0.9252671726602278,-0.20827448332571352,-0.16404832354644935,0.6077020202020201,481.29999999999995
CA,vae,vae,vae,10000.0,8171.548579826195,-1828.4514201737975,False,,0->aggressive; 1->rebound; 2->recession; 3->defensive,,792,0.04791313131313132,-0.18284514201738045,-0.06222890130666714,0.08071480286025692,-1.3645828115381693,-0.23094028047608683,-0.2694588452840766,0.6527777777777778,517.0
CA,pathformer,pathformer,pathformer,10000.0,7206.417150889958,-2793.5828491100438,False,,0->aggressive; 1->recession; 2->defensive; 3->rebound,,792,0.04791313131313132,-0.27935828491100423,-0.09899147652036355,0.07957933145398294,-1.8460146013973873,-0.2868090544589239,-0.34514766874119335,0.7077020202020203,560.5000000000001
