validation_rank,experiment_name,architecture,n_clusters,target_cluster_count,best_mapping,objective,validation_n_days,validation_total_return,validation_annual_return,validation_annual_vol,validation_sharpe,validation_max_drawdown,validation_calmar,validation_final_nav,validation_avg_turnover,validation_total_turnover,test_n_days,test_total_return,test_annual_return,test_annual_vol,test_sharpe,test_max_drawdown,test_calmar,test_final_nav,test_avg_turnover,test_total_turnover,source_experiment,best_episode,n_states,n_actions,policy_loaded,train_n_days,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover,test_rank
1,transformer_autoencoder__q_learning,transformer_autoencoder+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.4127851492999987,0.1869904086079206,0.099852028617798,1.672378727998678,-0.099831647101648,1.8730574325547085,141278.5149299999,0.039763779527559,20.2,225,0.1684090588613394,0.1904366946341233,0.0988726754209959,1.723799764782441,-0.0788824995572244,2.4141817982830664,116840.90588613394,0.0266666666666666,6.0,transformer_autoencoder,153.0,20.0,4.0,False,1923.0,0.6825559468064699,0.070563000112285,0.1042170961905305,0.4851699189530797,-0.2839613448690702,0.2484950905723467,168255.594680647,0.094123764950598,181.0,12
2,pca_kmeans_baseline__q_learning,pca_kmeans_baseline+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.4043517736916804,0.1834702353159529,0.0999723024067926,1.6351552518094854,-0.0998316471016469,1.8377963365579515,140435.17736916803,0.0149606299212598,7.6,225,0.1806463658726962,0.2044096175511367,0.0959657139870067,1.9216198149279105,-0.078882499557225,2.591317702893637,118064.63658726962,0.0124444444444444,2.8,pca_kmeans_baseline,18.0,20.0,4.0,False,1923.0,0.863052923201924,0.0849550000611083,0.1282938898931562,0.5062984692038192,-0.2409799527006245,0.3525396992946134,186305.2923201924,0.0013520540821632,2.6,4
3,conv_transformer__q_learning,conv_transformer+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.4084240714139246,0.1851713782661372,0.1011175556533989,1.6334589696006483,-0.0998316471016467,1.854836453590706,140842.40714139247,0.0181102362204724,9.2,225,0.1731291839499582,0.1958242041571756,0.0977006423216331,1.7996217832259238,-0.0788824995572249,2.482479704070684,117312.91839499582,0.0133333333333333,3.0,conv_transformer,66.0,20.0,4.0,False,1923.0,0.774356705773277,0.0780418711474097,0.1084266916482195,0.5353098048561818,-0.2398244368586239,0.3254125066221476,177435.6705773277,0.0238169526781071,45.8,11
4,kmeans_baseline__q_learning,kmeans_baseline+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.4007773592951451,0.1819750261515307,0.1005599150317262,1.610731533538271,-0.0998316471016479,1.8228190301843357,140077.7359295145,0.0047244094488188,2.4,225,0.1742559812215227,0.1971107057576051,0.0977489440082763,1.811893801559732,-0.0788824995572251,2.4987887917346177,117425.59812215228,0.0062222222222222,1.4,kmeans_baseline,16.0,20.0,4.0,False,1923.0,0.7783346031858349,0.0783582787378653,0.1285907986650564,0.453829351273201,-0.2409799527006261,0.3251651345255733,177833.4603185835,0.0017680707228289,3.4,10
5,hmm_baseline__q_learning,hmm_baseline+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.3938340302521794,0.1790650650344134,0.1019396159674406,1.560385170424996,-0.0998316471016476,1.7936703463591177,139383.40302521794,0.0078740157480314,4.0,225,0.1363066122796479,0.1538649941188199,0.094981444693018,1.4093804800661265,-0.0897982278573018,1.713452456582177,113630.6612279648,0.0337777777777777,7.6,hmm_baseline,25.0,20.0,4.0,False,1923.0,0.270636249845368,0.0318854498234606,0.1041703050920628,0.1140963330476627,-0.2985207335090676,0.1068115083620887,127063.6249845368,0.0117524700988039,22.6,16
6,mae_transformer__q_learning,mae_transformer+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.3817351335159304,0.1739768871174882,0.1002900199338342,1.535316148297445,-0.0998316471016469,1.742702761784025,138173.51335159305,0.0433070866141732,22.0,225,0.1194545790716878,0.1347161979039195,0.0969252515788489,1.1835532643482238,-0.0788824995572252,1.7078084322897216,111945.4579071688,0.1493333333333333,33.599999999999994,mae_transformer,99.0,20.0,4.0,False,1923.0,0.0929297887858313,0.0117130045897486,0.1074973840718391,-0.0770902053273523,-0.3142872257456208,0.0372684717361977,109292.97887858312,0.200520020800832,385.6,17
7,vae__q_learning,vae+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.3747532972967662,0.1710304632772732,0.1002904364720144,1.505930860311068,-0.0998316471016481,1.7131888358320957,137475.32972967662,0.005511811023622,2.8000000000000003,225,0.1742559812215227,0.1971107057576051,0.0977489440082763,1.811893801559732,-0.0788824995572251,2.4987887917346177,117425.59812215228,0.0062222222222222,1.4,vae,63.0,20.0,4.0,False,1923.0,0.4575603794725811,0.0506123010027996,0.1224663860562371,0.2499649249773921,-0.3146461935740585,0.1608546425681994,145756.0379472581,0.0290171606864274,55.8,9
8,encoder_only__q_learning,encoder_only+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.3699055960921076,0.1689802337810024,0.1005980290759336,1.48094585102208,-0.099831647101648,1.6926519664545625,136990.55960921076,0.0039370078740157,2.0,225,0.193821520558707,0.2194728392052498,0.1049700646419895,1.900283093904639,-0.0908934026404907,2.414617924177923,119382.1520558707,0.0337777777777777,7.599999999999999,encoder_only,20.0,20.0,4.0,False,1923.0,0.5483519208050178,0.0589647838272859,0.1018301949446357,0.3826446944196738,-0.224970475707719,0.2621000984319954,154835.1920805018,0.0881955278211128,169.59999999999997,7
9,encoder_only_market_tuples__q_learning,encoder_only_market_tuples+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.3699055960921076,0.1689802337810024,0.1005980290759336,1.48094585102208,-0.099831647101648,1.6926519664545625,136990.55960921076,0.0039370078740157,2.0,225,0.1752206490017167,0.1982122164845086,0.0978396364062131,1.821472595672806,-0.078882499557225,2.512752734726873,117522.06490017168,0.0088888888888888,2.0,encoder_only_market_tuples,54.0,20.0,4.0,False,1924.0,0.0786238695590801,0.0099624374955029,0.1073333170967456,-0.0935176772320341,-0.2569647565305257,0.0387696648755001,107862.38695590802,0.3508316008316008,675.0,8
10,lstm_autoencoder__q_learning,lstm_autoencoder+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.3683834811472704,0.1683357344893497,0.1005952048735901,1.4745805694789444,-0.099831647101648,1.6861961049080072,136838.34811472704,0.005511811023622,2.8,225,0.1606263034988742,0.1815592321203611,0.095677198391497,1.6885865685498502,-0.0788824995572248,2.301641468506588,116062.63034988742,0.0693333333333333,15.599999999999998,lstm_autoencoder,8.0,20.0,4.0,False,1923.0,0.4399767883699923,0.048942624647285,0.1168665331359801,0.2476553712225623,-0.3056881310243041,0.1601063949826491,143997.67883699923,0.0813312532501299,156.39999999999998,13
11,tcn_transformer__q_learning,tcn_transformer+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.3678523415935169,0.1681107524800218,0.100634984358076,1.4717620658936963,-0.099831647101648,1.683942490790043,136785.23415935168,0.0070866141732283,3.6,225,0.1470201926116898,0.1660564916284037,0.1033268274450399,1.4135389156905256,-0.1024641402508558,1.62063031243769,114702.019261169,0.0417777777777777,9.400000000000002,tcn_transformer,74.0,20.0,4.0,False,1923.0,0.8850607788189673,0.0866259643142104,0.1082222239248297,0.6156403176531309,-0.2409799527006256,0.3594737377255096,188506.07788189672,0.0256890275611024,49.400000000000006,15
12,softmax_regime_transformer__q_learning,softmax_regime_transformer+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.3377965027217491,0.1553070658544475,0.0968074866742803,1.397692167236025,-0.1013922645799549,1.5317447193614746,133779.6502721749,0.0062992125984251,3.2,225,0.1855709035214723,0.2100375179977254,0.0957974386745862,1.9837432046932155,-0.0810130185441347,2.5926390816224165,118557.09035214724,0.0142222222222222,3.2,softmax_regime_transformer,100.0,20.0,4.0,False,1923.0,0.6509044971332114,0.0679020634092941,0.1007658165020922,0.475380094878699,-0.2372328300515593,0.2862254073120341,165090.44971332114,0.0012480499219968,2.4,3
13,pure_rnn__q_learning,pure_rnn+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.3467518900090049,0.1591370579572084,0.1009292091197008,1.3785608662819662,-0.099831647101648,1.5940542160460995,134675.1890009005,0.0275590551181102,14.0,225,0.1088346917825078,0.122666650199753,0.104244236677184,0.984866439357062,-0.0980760963915516,1.250729328684004,110883.4691782508,0.2577777777777778,58.0,pure_rnn,26.0,20.0,4.0,False,1923.0,0.2628905012858753,0.0310589400222371,0.116632401180109,0.0948187631424947,-0.2738645755985672,0.1134098484784086,126289.05012858754,0.0803952158086323,154.6,18
14,cls_token_transformer__q_learning,encoder_only+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.3263294124892884,0.1503839682729746,0.0948417253543183,1.374753230035349,-0.1013922645799544,1.4831897570882937,132632.94124892884,0.0047244094488188,2.4000000000000004,225,0.1826031197050772,0.2066455143783134,0.0981872904267659,1.9009131789569549,-0.0810130185441345,2.5507692231679577,118260.31197050773,0.0355555555555555,8.0,cls_token_transformer,31.0,20.0,4.0,False,1923.0,0.6762738678083713,0.0700383461677969,0.1014389644718749,0.4932852620126122,-0.253833678522433,0.2759221966741783,167627.3867808371,0.0216328653146125,41.6,6
15,rnn_autoencoder__q_learning,rnn_autoencoder+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.3187966326728646,0.14713828347592,0.0945571035680297,1.3445661793611268,-0.1013922645799545,1.4511785892689255,131879.6632672865,0.0031496062992125,1.6,225,0.1856629027306391,0.2101426840187616,0.0953876464996212,1.9933680198254675,-0.0810130185441344,2.593937218920928,118566.29027306392,0.0159999999999999,3.6,rnn_autoencoder,23.0,20.0,4.0,False,1923.0,0.6710460146062114,0.0696004327714512,0.1006333828162813,0.4928824946886952,-0.2372328300515591,0.2933844896438852,167104.60146062114,0.0008320332813312,1.6,2
16,pathformer__q_learning,pathformer+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.3137155543808423,0.1449436960920078,0.0946961601797167,1.3194167097682374,-0.1013922645799543,1.4295340644819154,131371.55543808424,0.0031496062992125,1.6,225,0.1937665113930868,0.2194099053107161,0.0948792440443479,2.1017231673716656,-0.0810130185441345,2.7083289729685265,119376.65113930868,0.0071111111111111,1.6,pathformer,52.0,20.0,4.0,False,1923.0,0.6665493285382837,0.0692228125016101,0.1005762801459011,0.4894077652325674,-0.2372328300515593,0.2917927189359308,166654.9328538284,0.000520020800832,1.0,1
17,rnn_lstm_hybrid__q_learning,rnn_lstm_hybrid+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.28584611025058,0.1328296821596504,0.1006917445785175,1.12054550878963,-0.1206105511846135,1.1013106304135332,128584.611025058,0.0499999999999999,25.4,225,0.1936319642167507,0.2192559764693069,0.1047036108647087,1.903047801539268,-0.0881588497140409,2.487055776935645,119363.19642167508,0.0062222222222222,1.4,rnn_lstm_hybrid,32.0,20.0,4.0,False,1923.0,0.0184956924807346,0.0024045166479016,0.1029563862653253,-0.1709023013565534,-0.3539357212111846,0.0067936534907335,101849.56924807349,0.1802392095683827,346.6,5
18,patchtst__q_learning,patchtst+q_learning,4,4,"q_learning_policy(episodes=250,alpha=0.100,gamma=0.950)",sharpe,508,0.2748346799471051,0.1280069148088736,0.1007556732376915,1.071968568500116,-0.1192710141107568,1.073244121912173,127483.4679947105,0.1732283464566929,88.0,225,0.1407266261427151,0.1588930761023006,0.0963571977712976,1.441439553192085,-0.0788824995572252,2.014300725689248,114072.66261427152,0.0906666666666666,20.4,patchtst,134.0,20.0,4.0,False,1923.0,0.4485770825822008,0.0497614788201812,0.1229506070317316,0.2420604463750248,-0.2650975572967602,0.18771006163771,144857.70825822008,0.150390015600624,289.2,14
19,random_choice,random_choice,4,4,random_daily_choice(seed=42),sharpe,508,0.0930713864029075,0.045134305737305,0.0996523954682192,0.2522197847749758,-0.1607562470673201,0.2807623750908048,109307.13864029077,0.4192913385826772,213.00000000000003,225,0.0242121238567092,0.0271566965220064,0.1080720236872245,0.0662215463154363,-0.1101971088075097,0.2464374684225452,102421.21238567092,0.4257777777777777,95.8,,,,,,,,,,,,,,,,19
